"Grado","Sexo","Trimestre_1","Trimestre_2","Trimestre_3","Ingreso_Familiar_Mensual","Numero_Personas_Hogar","Nivel_Educativo_Padres","Situacion_Laboral_Padres","Acceso_Internet_Casa","Tipo_Vivienda","Computadora_Casa","Dispositivos_Moviles","Numero_Dispositivos_Moviles","Numero_Hermanos","Numero_Hermanos_Estudiando","Numero_Hermanos_Trabajando","Probabilidad_Desercion"
"1","M","5.5","7.7","6.6","9197","9","Primaria","Empleado","Si","Alquilada","Si","Si","1","2","2","1","0"
"1","M","6.2","5.1","5.9","15677","5","Primaria","Empleado","No","Propia","No","No","0","4","3","1","0"
"2","M","5","8.6","5.1","13039","2","Primaria","Empleado","No","Prestada","Si","No","7","3","1","3","1"
"1","M","6.9","8.3","7.3","6570","7","Preparatoria","Empleado","Si","Alquilada","Si","No","3","3","3","5","1"
"1","F","9.6","7.2","6","8706","7","Secundaria","Desempleado","No","Propia","No","No","7","0","0","2","1"
"2","F","9.5","9.4","7.3","13655","2","Primaria","Desempleado","Si","Alquilada","No","Si","1","5","0","2","0"
"3","F","5.7","7.8","8.4","2434","6","Preparatoria","Empleado","Si","Prestada","No","No","2","3","4","4","0"
"3","M","5.9","8.4","7.2","17139","8","Primaria","Desempleado","Si","Alquilada","No","No","2","1","3","3","1"
"2","M","5.8","6","8.1","11449","8","Universitaria","Empleado","Si","Prestada","No","No","3","2","0","4","1"
"2","M","9.8","9.7","7.2","11122","4","Primaria","Desempleado","No","Prestada","Si","Si","8","3","3","5","0"
"2","F","9","8.2","8.3","15603","8","Secundaria","Empleado","No","Propia","No","Si","8","0","4","3","1"
"2","M","5.2","6","9","12991","4","Preparatoria","Desempleado","No","Alquilada","No","Si","4","1","4","1","0"
"2","F","6","5.8","6.8","15859","8","Universitaria","Desempleado","No","Alquilada","Si","Si","6","5","3","2","1"
"3","M","6.1","6.3","5.1","17571","3","Universitaria","Desempleado","Si","Prestada","Si","No","8","5","5","0","0"
"3","F","5.9","5.8","5.1","8461","6","Primaria","Empleado","No","Alquilada","Si","Si","0","4","0","2","0"
"2","F","7.4","8.8","6.4","7996","9","Secundaria","Desempleado","No","Prestada","No","Si","1","4","1","3","1"
"1","F","9.8","9.7","7","6852","4","Secundaria","Empleado","Si","Propia","No","Si","5","1","5","5","0"
"2","M","9.8","5.2","8.4","4512","3","Primaria","Empleado","Si","Alquilada","Si","No","2","0","1","2","1"
"1","F","7.4","7.8","5.4","17446","2","Primaria","Desempleado","No","Prestada","Si","No","6","4","5","0","0"
"2","M","6","6.8","9.2","3263","6","Preparatoria","Empleado","Si","Alquilada","No","No","4","2","4","1","1"
"2","M","8.5","8.5","7.6","4747","6","Preparatoria","Empleado","Si","Alquilada","Si","No","9","5","0","1","1"
"3","M","8.8","8.1","7.3","17416","4","Primaria","Empleado","Si","Propia","No","Si","7","5","4","3","1"
"1","M","7.5","5.6","5.6","9280","4","Primaria","Empleado","No","Prestada","Si","Si","0","2","4","2","1"
"1","M","6.3","7.7","5.5","12974","5","Universitaria","Desempleado","No","Propia","Si","Si","8","5","4","3","1"
"3","F","8.8","9.3","9.5","19477","8","Secundaria","Empleado","No","Propia","No","Si","9","5","4","2","0"
"3","M","8.9","6.7","8.2","12978","2","Preparatoria","Desempleado","Si","Propia","Si","Si","5","5","3","4","1"
"3","M","5","5.4","9.8","13007","2","Primaria","Empleado","No","Prestada","Si","No","4","0","3","3","0"
"3","M","5.3","7.2","6.6","5763","7","Primaria","Empleado","Si","Prestada","No","Si","7","0","0","2","0"
"1","M","7.9","7.1","9.5","14227","3","Preparatoria","Empleado","No","Alquilada","No","No","3","2","5","4","1"
"1","M","6.1","7.5","9.1","15031","9","Universitaria","Empleado","Si","Prestada","Si","No","8","0","0","3","0"
"2","F","8.4","9.1","7.9","12515","3","Universitaria","Empleado","Si","Propia","No","No","4","1","2","1","0"
"2","F","6.2","6.1","5.7","2232","5","Primaria","Empleado","No","Prestada","No","Si","0","0","1","5","0"
"3","M","8","8.9","8.9","14544","7","Secundaria","Empleado","No","Alquilada","No","Si","7","5","3","4","1"
"3","F","8.7","6.8","9.5","4028","2","Secundaria","Empleado","No","Propia","Si","No","8","2","0","3","0"
"3","F","9.2","9.6","5.6","18022","8","Primaria","Empleado","No","Alquilada","Si","Si","4","3","5","0","0"
"2","M","7.2","5","5.5","11650","8","Preparatoria","Desempleado","Si","Prestada","Si","Si","4","0","4","5","0"
"2","F","5.3","5.2","5.3","4413","9","Secundaria","Desempleado","No","Alquilada","Si","Si","5","4","3","1","1"
"2","M","6.5","7.6","5","10026","8","Preparatoria","Empleado","Si","Alquilada","Si","Si","8","1","1","5","1"
"2","F","5.6","6.7","6.4","7418","8","Preparatoria","Empleado","Si","Prestada","Si","No","4","1","3","5","1"
"2","F","7.1","9.9","8","11952","3","Preparatoria","Empleado","No","Alquilada","Si","Si","1","1","5","4","1"
"2","F","7.8","7.9","7.4","5597","2","Universitaria","Desempleado","Si","Prestada","No","Si","2","4","1","2","1"
"2","M","6","5.1","9.6","19762","8","Secundaria","Desempleado","No","Propia","No","Si","9","4","2","0","1"
"3","F","8.2","5.4","8.2","2620","2","Universitaria","Desempleado","No","Alquilada","Si","No","2","1","0","2","1"
"3","F","7.8","7.8","8.4","2929","7","Secundaria","Empleado","No","Propia","Si","No","8","1","5","5","1"
"3","M","8.8","8.2","5.4","17455","3","Primaria","Empleado","Si","Prestada","No","Si","7","1","1","0","1"
"3","M","6.1","9.1","5.4","16905","4","Preparatoria","Desempleado","No","Prestada","Si","Si","5","0","2","3","1"
"2","F","5.6","6.9","8.5","2974","4","Secundaria","Empleado","No","Alquilada","Si","Si","4","5","5","3","0"
"1","M","8.8","7.9","6.6","14679","7","Secundaria","Empleado","Si","Alquilada","Si","Si","9","4","5","2","1"
"2","F","9.1","9.1","6.3","6671","3","Primaria","Desempleado","No","Prestada","No","No","1","2","3","5","0"
"1","F","9.7","5.4","7.8","15599","9","Universitaria","Empleado","No","Prestada","No","No","8","5","0","2","0"
"3","M","7.5","9.9","5.7","14810","5","Secundaria","Desempleado","Si","Propia","No","No","9","0","1","2","0"
"2","M","8.9","7","8.3","10917","6","Secundaria","Desempleado","No","Propia","Si","No","7","2","5","4","0"
"3","M","5.8","6.4","8.9","10353","7","Universitaria","Empleado","Si","Alquilada","No","No","4","0","5","5","0"
"2","F","9","6.9","5","9784","2","Universitaria","Desempleado","Si","Alquilada","No","No","5","0","1","1","0"
"3","M","8.3","5.7","7.8","16225","7","Secundaria","Empleado","Si","Alquilada","Si","Si","8","2","5","2","1"
"1","F","9.4","9.8","8.5","2658","6","Universitaria","Desempleado","Si","Alquilada","Si","No","0","1","0","3","0"
"1","M","6.2","8","8.6","4897","9","Primaria","Empleado","Si","Alquilada","Si","No","3","5","5","5","0"
"1","F","8.5","6.1","7.8","14291","7","Primaria","Empleado","Si","Alquilada","Si","No","4","2","3","5","1"
"2","M","7.4","7","5.4","15572","3","Preparatoria","Empleado","Si","Alquilada","No","Si","8","3","3","5","0"
"1","F","7.3","7.9","8.1","5205","2","Secundaria","Empleado","Si","Alquilada","No","No","4","4","4","3","0"
"2","M","9.3","7.6","7.3","6044","6","Primaria","Desempleado","Si","Propia","Si","No","4","3","5","2","1"
"1","F","6.6","9.3","6.8","5433","8","Primaria","Desempleado","No","Prestada","Si","No","2","5","3","5","0"
"1","M","5.1","7.5","6.1","8711","4","Primaria","Empleado","No","Prestada","Si","No","7","0","0","5","1"
"2","M","6.2","8.2","5","9384","5","Preparatoria","Empleado","No","Alquilada","Si","Si","6","2","2","2","1"
"2","F","8","7.5","5.6","19261","7","Universitaria","Empleado","Si","Prestada","Si","Si","7","1","0","3","0"
"1","M","7.8","7.5","6.6","19475","7","Preparatoria","Desempleado","Si","Alquilada","No","Si","3","5","1","4","0"
"2","F","9.9","8.5","8.3","5059","6","Preparatoria","Desempleado","Si","Propia","Si","No","7","1","5","5","0"
"1","F","7.7","8.9","9.2","17915","5","Preparatoria","Empleado","No","Alquilada","No","Si","9","3","4","0","0"
"2","M","7.6","5","5.6","9513","7","Preparatoria","Desempleado","No","Propia","Si","Si","3","3","4","3","1"
"3","F","6.4","6.4","6.6","15865","9","Secundaria","Empleado","No","Propia","No","Si","0","0","2","0","1"
"3","M","8","9.9","5.2","3674","4","Secundaria","Desempleado","Si","Propia","Si","Si","3","4","5","2","1"
"3","M","8.9","5","7.8","11800","6","Primaria","Empleado","Si","Alquilada","Si","Si","4","0","1","1","0"
"3","F","6.4","6","7.1","15978","3","Preparatoria","Empleado","No","Propia","No","No","9","5","3","2","0"
"3","M","8.2","5.1","8.7","18697","2","Preparatoria","Empleado","No","Alquilada","No","No","7","1","3","2","0"
"1","F","6.9","5","9.2","18767","4","Primaria","Desempleado","Si","Propia","No","No","9","5","3","2","0"
"3","F","9.1","8","7.8","7884","5","Universitaria","Empleado","No","Propia","No","No","5","2","0","5","0"
"3","M","6.1","9.3","9.9","15383","5","Secundaria","Desempleado","No","Prestada","No","No","9","3","3","3","1"
"3","M","8.6","6.5","9.9","7248","4","Preparatoria","Desempleado","Si","Alquilada","No","No","4","1","1","3","1"
"3","F","5.8","7.1","9.1","5429","8","Universitaria","Empleado","No","Prestada","No","Si","2","0","4","1","1"
"2","F","7.2","9.1","5.4","18611","3","Universitaria","Empleado","Si","Propia","No","Si","3","4","0","0","1"
"1","M","5.7","6.7","7.9","12256","7","Preparatoria","Empleado","Si","Prestada","Si","No","5","2","3","0","1"
"3","M","8.1","9.6","7.2","10203","3","Preparatoria","Desempleado","Si","Propia","Si","No","5","4","1","0","0"
"3","M","9.7","6.6","7","9765","7","Universitaria","Desempleado","No","Prestada","Si","No","5","0","2","2","1"
"3","M","6.3","7.9","7.5","3522","7","Secundaria","Desempleado","Si","Prestada","No","No","1","0","1","1","1"
"1","F","7.6","5.9","9.6","2691","5","Secundaria","Desempleado","Si","Alquilada","No","Si","7","1","4","2","1"
"2","M","7.4","8.4","7","3739","7","Preparatoria","Desempleado","Si","Alquilada","Si","Si","7","2","1","1","0"
"1","F","6.2","7","6.9","3525","4","Preparatoria","Desempleado","No","Prestada","No","No","5","5","1","4","0"
"2","F","7","6.5","7.2","18453","8","Primaria","Desempleado","No","Prestada","Si","No","3","0","0","3","1"
"3","M","9.4","5.5","5.3","8251","7","Primaria","Empleado","No","Alquilada","No","No","1","1","4","5","0"
"3","F","8","5.2","7","12440","4","Secundaria","Empleado","Si","Propia","No","No","5","0","3","5","0"
"1","M","8.6","9","7","15860","2","Primaria","Empleado","No","Propia","No","No","5","1","4","5","1"
"1","F","9.7","9.2","5","9649","5","Universitaria","Desempleado","No","Propia","No","No","9","4","2","2","0"
"2","M","9.2","7","6.4","3287","9","Universitaria","Empleado","No","Propia","Si","Si","2","1","5","4","0"
"2","F","5.4","6.2","6.6","15193","3","Universitaria","Desempleado","No","Prestada","Si","Si","1","5","4","0","0"
"1","F","6.2","6.7","6.3","10767","6","Universitaria","Desempleado","Si","Propia","Si","Si","3","4","0","5","1"
"2","M","7.7","7.3","6.8","17913","3","Preparatoria","Desempleado","Si","Prestada","No","Si","7","3","3","4","1"
"1","M","9.2","7.6","9.9","17629","3","Universitaria","Desempleado","Si","Prestada","Si","No","4","0","4","5","1"
"2","F","7.4","5.3","8.3","6954","8","Secundaria","Empleado","Si","Propia","Si","Si","2","3","5","3","0"
"1","F","8.4","7.1","5.5","2744","9","Primaria","Desempleado","Si","Propia","Si","Si","4","2","3","5","1"
"1","M","9.6","7.3","9.4","12719","6","Secundaria","Empleado","Si","Propia","Si","No","8","3","0","3","0"
"1","F","8.8","8.9","9.8","14402","8","Preparatoria","Desempleado","No","Alquilada","Si","Si","7","1","1","5","0"
"2","M","5.6","9.4","5.5","6576","9","Primaria","Empleado","No","Prestada","Si","Si","9","1","5","5","1"
"2","F","8.7","5.9","5.4","11216","5","Primaria","Desempleado","No","Propia","No","Si","6","2","2","3","1"
"2","M","8.1","5.1","5.6","18363","7","Primaria","Desempleado","No","Alquilada","No","No","3","2","4","5","0"
"1","F","5.2","8.9","8.2","19325","2","Universitaria","Empleado","Si","Prestada","No","No","1","0","3","4","0"
"2","M","9.4","5.5","6.2","7050","3","Preparatoria","Empleado","Si","Prestada","No","No","8","1","4","0","1"
"2","M","8.8","9.7","5","15948","8","Secundaria","Empleado","No","Prestada","Si","No","2","2","0","2","1"
"1","F","8.6","6.7","6.2","19151","7","Universitaria","Desempleado","No","Propia","Si","Si","5","5","1","5","0"
"3","M","9.9","6.6","9.2","4438","3","Primaria","Desempleado","Si","Propia","No","No","6","3","0","0","0"
"1","F","7.1","8.7","7.6","12382","5","Secundaria","Desempleado","No","Prestada","Si","No","2","1","5","1","1"
"2","M","5.7","9.4","5.6","16663","5","Secundaria","Empleado","No","Prestada","Si","No","2","5","3","1","0"
"1","M","6.6","7.2","5.2","16069","4","Secundaria","Empleado","No","Alquilada","Si","Si","2","2","4","2","0"
"3","M","7.6","9.5","7.4","10819","5","Preparatoria","Empleado","Si","Alquilada","No","Si","2","0","3","5","0"
"1","F","8.2","7.9","8.2","18760","9","Universitaria","Desempleado","Si","Prestada","Si","Si","2","5","5","5","0"
"2","M","9.5","7","8.9","14078","5","Preparatoria","Desempleado","Si","Alquilada","No","Si","6","4","5","3","1"
"3","F","6.6","5.9","6.6","18473","3","Primaria","Empleado","No","Prestada","No","No","4","1","0","2","1"
"2","M","9.1","9.2","9.4","13047","2","Primaria","Desempleado","Si","Alquilada","Si","Si","3","1","4","4","1"
"3","F","6.1","6.2","6.3","11257","8","Secundaria","Desempleado","No","Prestada","No","No","5","1","3","5","0"
"3","F","9.7","6.1","8.6","15805","3","Secundaria","Desempleado","No","Propia","No","Si","7","1","4","3","0"
"1","F","9.5","5.8","7.2","18212","8","Secundaria","Empleado","Si","Prestada","No","No","1","4","2","2","1"
"1","M","7.6","5.3","7.3","12296","7","Preparatoria","Empleado","Si","Propia","No","Si","2","4","0","2","0"
"2","F","9.7","8.8","7.8","16570","8","Universitaria","Empleado","Si","Prestada","No","Si","1","5","0","4","0"
"1","M","5.7","7.3","8.7","4655","5","Preparatoria","Desempleado","Si","Propia","Si","Si","6","5","2","4","0"
"1","F","7.2","8.3","7.6","16727","4","Primaria","Empleado","Si","Alquilada","Si","Si","1","0","1","0","1"
"3","F","9.1","8.8","8.7","19899","2","Secundaria","Empleado","Si","Propia","No","No","4","1","5","1","0"
"1","F","9.8","9","8.9","5017","4","Secundaria","Desempleado","Si","Alquilada","No","Si","9","2","3","2","0"
"3","F","7.8","5.4","9.4","16142","6","Preparatoria","Desempleado","No","Prestada","No","No","8","3","1","0","1"
"3","M","9.9","6.4","9.9","9343","4","Primaria","Desempleado","Si","Alquilada","No","No","7","1","4","3","1"
"3","F","6.9","9.9","7.2","14339","9","Universitaria","Desempleado","No","Alquilada","No","Si","7","5","3","3","1"
"2","F","6.5","5.3","8","3573","4","Secundaria","Empleado","Si","Alquilada","No","Si","2","4","3","1","0"
"2","M","6.6","8.8","8.5","7597","7","Secundaria","Desempleado","No","Prestada","No","Si","0","0","5","3","1"
"2","F","6.5","5.7","6.6","5926","5","Primaria","Desempleado","No","Propia","Si","Si","1","1","3","1","0"
"3","F","6.8","9.8","8.6","12244","9","Secundaria","Desempleado","Si","Alquilada","No","No","6","0","2","3","1"
"2","F","5.7","9.4","5.2","5796","7","Universitaria","Desempleado","Si","Prestada","Si","No","3","2","0","3","1"
"2","F","8.7","7.3","8.5","10823","5","Preparatoria","Desempleado","Si","Alquilada","Si","Si","9","2","2","2","1"
"1","M","8.7","7.7","5.4","12053","9","Primaria","Desempleado","No","Propia","No","No","4","2","2","4","1"
"2","M","7.8","9.2","9.5","19616","7","Secundaria","Empleado","Si","Alquilada","Si","Si","0","2","2","2","0"
"2","F","9","7.6","6.4","2535","5","Secundaria","Empleado","Si","Alquilada","No","No","1","3","1","0","0"
"3","M","8.5","5","9.8","17701","9","Universitaria","Empleado","No","Alquilada","Si","Si","8","0","2","4","0"
"3","M","7.5","8.3","5.5","9884","9","Preparatoria","Empleado","No","Propia","Si","No","5","1","0","2","1"
"3","F","8","6.6","5.9","13725","9","Universitaria","Desempleado","No","Propia","No","Si","6","3","3","4","0"
"3","M","9.3","8.6","8.1","8881","8","Preparatoria","Desempleado","No","Prestada","Si","Si","4","1","1","4","1"
"3","F","6.1","8.7","7.2","15017","5","Universitaria","Desempleado","No","Alquilada","Si","Si","8","4","5","4","1"
"3","M","6.6","7.5","9.7","11467","9","Preparatoria","Empleado","No","Alquilada","Si","Si","9","5","2","3","0"
"2","M","6.4","7.3","6.6","5073","5","Secundaria","Desempleado","No","Alquilada","Si","No","4","3","2","4","1"
"3","M","5.8","8.8","9.5","17963","4","Secundaria","Desempleado","No","Alquilada","No","Si","5","5","3","3","1"
"3","F","8.8","7","6.9","3025","6","Secundaria","Desempleado","Si","Propia","Si","Si","9","3","3","5","1"
"1","M","9.1","7.9","9.3","4051","5","Primaria","Desempleado","Si","Propia","No","No","8","5","5","4","1"
"2","F","9.7","9.6","9","5621","6","Preparatoria","Empleado","No","Alquilada","No","No","4","5","1","3","1"
"2","F","6.1","9.7","6.4","16405","6","Primaria","Desempleado","No","Alquilada","No","Si","3","4","5","4","0"
"2","M","8.1","6.2","9.3","6403","3","Preparatoria","Desempleado","No","Alquilada","No","No","4","5","5","0","0"
"3","F","7.4","8.6","9.5","5323","3","Secundaria","Desempleado","No","Alquilada","Si","No","4","3","0","2","1"
"3","M","8.8","5.2","7.1","7017","2","Primaria","Empleado","No","Prestada","Si","Si","4","5","1","5","1"
"3","F","6.7","8.1","9.9","8435","8","Primaria","Desempleado","Si","Prestada","Si","Si","0","0","3","4","0"
"1","F","6.4","8.4","5.5","17492","9","Universitaria","Desempleado","No","Alquilada","Si","Si","4","5","0","0","1"
"3","M","8.1","6.8","5.3","15170","9","Preparatoria","Desempleado","No","Alquilada","No","Si","4","2","2","2","0"
"1","M","5.5","6.3","7.2","7816","9","Universitaria","Desempleado","Si","Alquilada","No","Si","0","5","5","1","0"
"2","M","9.3","9.7","9.3","6604","7","Primaria","Desempleado","No","Prestada","Si","No","3","1","2","5","1"
"3","M","9.2","7.1","9.4","5424","3","Primaria","Desempleado","No","Propia","No","No","7","4","4","5","1"
"1","F","8.4","6.6","6.8","16628","5","Secundaria","Desempleado","Si","Prestada","No","Si","3","2","3","4","1"
"1","F","8.3","5.3","9.4","13861","6","Universitaria","Empleado","No","Prestada","No","Si","6","3","4","1","0"
"3","F","8.7","9.4","8","14501","7","Universitaria","Empleado","No","Alquilada","No","Si","5","0","1","2","0"
"2","M","5.4","8.9","9.3","4812","9","Universitaria","Desempleado","No","Alquilada","No","Si","4","5","1","2","1"
"2","F","6.7","6.8","5.2","2044","2","Preparatoria","Desempleado","Si","Propia","No","No","8","5","5","4","1"
"2","M","6.5","8.6","7.7","19017","9","Primaria","Empleado","No","Alquilada","No","No","7","3","0","0","0"
"1","F","5.7","5.1","5.2","11402","3","Universitaria","Empleado","No","Alquilada","No","Si","4","4","5","4","0"
"1","M","7.4","6.4","6.3","10785","4","Secundaria","Empleado","Si","Propia","No","No","9","3","3","0","0"
"1","F","8.1","5.1","6.7","16581","8","Primaria","Empleado","Si","Alquilada","Si","No","6","0","0","4","0"
"1","F","7.5","6","7.6","3926","7","Secundaria","Desempleado","No","Alquilada","Si","Si","8","5","0","0","1"
"2","M","7.1","9.4","5.9","2856","2","Primaria","Desempleado","No","Alquilada","No","Si","6","3","1","3","0"
"3","F","8","7.2","9.8","7988","5","Secundaria","Desempleado","No","Prestada","Si","No","2","3","1","0","1"
"1","M","9.2","5.9","6.4","10743","7","Universitaria","Desempleado","No","Alquilada","No","No","9","5","5","0","0"
"1","F","5.9","5.2","6.8","6138","6","Universitaria","Desempleado","No","Prestada","No","No","4","3","3","2","0"
"2","F","6.1","5.4","5.8","13080","5","Secundaria","Empleado","No","Alquilada","Si","No","8","5","1","1","0"
"3","M","7.7","5.2","5.3","18082","5","Preparatoria","Empleado","No","Alquilada","Si","Si","8","3","3","4","0"
"3","M","5.5","8.7","6.4","16870","7","Secundaria","Empleado","Si","Prestada","No","No","7","0","4","2","1"
"2","F","6.9","6.2","9.7","2606","9","Primaria","Empleado","Si","Prestada","No","Si","5","1","5","1","1"
"2","F","5.4","9.1","5.7","10863","4","Secundaria","Empleado","No","Alquilada","Si","No","6","2","2","2","1"
"3","F","7.2","6.8","9.8","7022","4","Secundaria","Desempleado","Si","Propia","No","No","6","4","5","5","0"
"1","F","5.8","8.9","5","18400","9","Primaria","Empleado","No","Alquilada","Si","Si","0","1","4","2","1"
"3","F","7.8","9.9","5.6","7149","7","Universitaria","Empleado","No","Prestada","No","Si","7","0","1","4","1"
"2","F","6.5","8.4","8","7311","9","Primaria","Desempleado","No","Alquilada","No","No","5","4","2","5","1"
"1","M","9.5","7.3","6.7","4484","7","Secundaria","Desempleado","No","Alquilada","Si","No","6","4","2","3","1"
"1","M","7.1","7.3","6.1","17012","7","Primaria","Desempleado","Si","Prestada","No","Si","9","5","5","2","0"
"2","M","5.7","6.6","9.7","17833","8","Secundaria","Desempleado","No","Propia","Si","No","9","5","5","4","0"
"2","F","6.9","8.9","7.9","13041","8","Universitaria","Desempleado","No","Propia","No","Si","1","3","0","0","0"
"2","F","6.3","5.9","8.2","5807","6","Secundaria","Empleado","No","Prestada","Si","Si","6","2","2","1","0"
"3","F","8.8","5.1","9.6","5173","3","Secundaria","Desempleado","No","Prestada","No","No","7","5","3","4","1"
"3","M","8.6","9.3","5.6","19857","5","Universitaria","Desempleado","Si","Alquilada","Si","No","4","2","1","3","0"
"1","M","9.9","7.2","7.7","16212","7","Primaria","Empleado","No","Prestada","Si","Si","0","0","1","4","0"
"2","F","8.3","5.5","9.8","12199","8","Preparatoria","Empleado","Si","Prestada","Si","Si","5","5","0","4","0"
"1","F","6","5.1","5.2","4412","3","Preparatoria","Desempleado","Si","Alquilada","Si","Si","2","1","5","0","1"
"1","M","8.9","7","9.2","18093","6","Secundaria","Desempleado","No","Alquilada","Si","Si","4","3","5","1","0"
"1","M","8.2","8.4","5.5","5182","5","Secundaria","Empleado","No","Alquilada","Si","Si","8","2","0","5","0"
"1","M","8","9.8","8","3014","3","Universitaria","Desempleado","No","Propia","No","Si","6","3","1","1","0"
"2","F","9.3","7.8","8.7","19988","5","Primaria","Desempleado","Si","Propia","Si","No","7","1","0","3","0"
"1","F","8.3","5.6","6.4","19253","9","Preparatoria","Desempleado","Si","Prestada","No","No","5","4","2","5","1"
"2","F","9.9","7.8","5.6","8913","4","Preparatoria","Desempleado","No","Alquilada","No","Si","8","1","2","5","1"
"2","M","5.6","8.6","9.2","4727","7","Universitaria","Desempleado","No","Prestada","Si","No","2","4","3","1","1"
"3","M","9.8","7.2","7.9","4852","9","Universitaria","Empleado","Si","Prestada","No","Si","0","1","5","0","0"
"2","F","7.2","8.2","7.6","11077","4","Preparatoria","Empleado","No","Propia","No","Si","9","3","0","3","0"
"3","F","9.5","5.7","6.6","3273","2","Primaria","Desempleado","Si","Propia","Si","Si","3","1","1","0","1"
"2","M","5.6","6.1","6.7","9649","6","Primaria","Desempleado","Si","Prestada","Si","No","7","5","5","0","0"
"2","F","7.4","9.5","7.1","3955","7","Primaria","Empleado","Si","Alquilada","Si","No","5","2","5","5","1"
"2","M","5.2","9.7","7.5","10778","9","Secundaria","Empleado","Si","Propia","Si","Si","6","2","4","4","1"
"3","M","8.7","5.9","7.6","6549","3","Primaria","Empleado","No","Propia","No","Si","8","0","1","4","0"
"3","F","6.9","6.4","8.9","17863","5","Secundaria","Desempleado","No","Propia","Si","No","1","5","5","4","1"
"1","M","8.3","7.3","7.3","13809","8","Secundaria","Empleado","Si","Prestada","Si","No","6","2","4","5","1"
"3","F","9.8","7.5","5.7","10302","2","Universitaria","Desempleado","No","Propia","Si","Si","3","2","4","2","0"
"3","M","9.3","9.6","7","10100","6","Secundaria","Desempleado","Si","Alquilada","No","Si","6","4","3","0","0"
"3","M","9.3","9.1","7.8","4911","6","Secundaria","Desempleado","No","Propia","No","No","7","5","4","1","0"
"3","F","7.9","8.8","9.2","14091","6","Universitaria","Desempleado","Si","Prestada","Si","No","1","3","2","3","1"
"1","M","6.6","5.2","7","11099","3","Primaria","Desempleado","No","Prestada","Si","Si","6","3","2","2","0"
"3","F","5.9","5.1","5.2","7663","9","Primaria","Empleado","No","Prestada","Si","Si","7","4","5","4","0"
"2","F","8.4","5.5","8","13881","7","Preparatoria","Empleado","Si","Prestada","No","Si","0","2","3","5","0"
"2","M","6.9","7","7.6","16368","4","Preparatoria","Empleado","No","Alquilada","No","Si","9","1","1","2","0"
"3","F","6.7","5.8","9.5","18938","2","Secundaria","Empleado","Si","Prestada","No","Si","4","4","1","5","0"
"3","F","9.4","5.9","7.6","10298","9","Preparatoria","Desempleado","No","Propia","No","Si","8","3","5","2","0"
"2","F","9.3","8.5","5.8","5336","3","Universitaria","Empleado","Si","Alquilada","Si","No","1","0","5","0","0"
"2","F","7.6","5.2","8.2","8369","5","Preparatoria","Empleado","No","Prestada","No","No","5","3","1","0","0"
"1","F","9.8","9","8.2","4534","3","Preparatoria","Empleado","No","Prestada","Si","No","1","1","1","5","0"
"2","F","8.5","7.3","7.5","4226","5","Secundaria","Empleado","Si","Alquilada","Si","Si","2","3","2","1","0"
"2","M","7.2","7.1","7.7","11585","5","Universitaria","Empleado","Si","Propia","Si","Si","5","4","2","3","1"
"3","F","8.1","9.8","9.3","2166","6","Preparatoria","Empleado","No","Alquilada","Si","No","4","0","3","3","1"
"2","M","5.9","6.3","9.2","12902","3","Primaria","Desempleado","No","Propia","No","No","3","3","3","4","1"
"1","M","6","9.1","8","5624","4","Universitaria","Desempleado","Si","Propia","Si","Si","6","4","3","1","1"
"2","F","8.7","9.4","5","19788","5","Universitaria","Empleado","Si","Prestada","No","No","2","4","1","3","0"
"3","M","5.5","9.3","6.9","11717","8","Secundaria","Desempleado","Si","Alquilada","No","No","9","4","1","2","0"
"3","M","9","7.6","6.1","14601","6","Universitaria","Desempleado","Si","Alquilada","No","Si","6","0","2","2","1"
"2","F","9.6","8.2","6.6","15103","4","Universitaria","Desempleado","No","Prestada","Si","No","8","4","2","3","0"
"3","F","8.3","7.1","6.4","15030","9","Universitaria","Desempleado","No","Prestada","Si","No","1","0","0","2","0"
"1","F","8.5","7.8","8.3","4774","9","Universitaria","Desempleado","No","Propia","Si","No","4","5","0","5","0"
"1","M","8.6","6.8","9.9","11017","9","Universitaria","Empleado","No","Prestada","Si","Si","0","1","5","2","0"
"2","M","6.6","6.8","6.5","12150","3","Universitaria","Desempleado","No","Alquilada","Si","Si","6","1","1","5","0"
"2","F","8.9","5.5","5.3","5739","4","Universitaria","Desempleado","No","Prestada","No","No","1","1","5","4","1"
"2","F","8.9","9.4","5.7","16911","3","Primaria","Empleado","Si","Prestada","Si","No","4","5","2","2","1"
"3","M","6.1","6.8","8.3","6464","5","Universitaria","Desempleado","No","Prestada","No","Si","0","4","1","5","1"
"1","M","7","6.2","9.5","14381","9","Secundaria","Desempleado","Si","Prestada","No","Si","0","0","5","3","1"
"1","M","8.9","7.5","7.4","15746","2","Primaria","Empleado","Si","Prestada","No","Si","3","5","5","0","1"
"3","M","6.8","7.1","6.4","6094","2","Universitaria","Desempleado","Si","Propia","No","Si","6","1","4","2","1"
"1","F","5.2","7","7.7","4930","9","Preparatoria","Empleado","Si","Prestada","Si","Si","6","2","0","3","1"
"2","M","6.7","8.5","5.8","2763","7","Secundaria","Desempleado","No","Prestada","Si","No","7","1","3","2","1"
"2","M","6.8","5.1","5.1","13552","7","Primaria","Desempleado","Si","Alquilada","Si","Si","8","4","1","1","1"
